date,station_id,scene_id,ndti,ndti_std,ndwi,mndwi,red_green_ratio,red,green,nir,swir16,water_pixel_count,window_pixels,cloud_fraction,tile_cloud_cover,quality,quality_score
2020-10-28,P01,S2A_30NXM_20201028_0_L2A,0.070683,0.035531,-0.127853,0.350626,1.121504,0.2326,0.2074,0.2842,0.1015,704,748,0.0588,53.5,GOOD,1.0
2020-11-02,P01,S2B_30NXM_20201102_1_L2A,0.095076,0.025833,-0.075671,0.484242,1.209866,0.2894,0.2392,0.2854,0.0813,748,748,0.0,68.227,GOOD,1.0
2020-11-12,P01,S2B_30NXM_20201112_0_L2A,0.039155,0.049727,-0.126088,0.202047,1.040211,0.1578,0.1517,0.2214,0.0844,432,748,0.4225,36.665,GOOD,1.0
2020-11-17,P01,S2A_30NXM_20201117_0_L2A,0.078033,0.038217,-0.168172,0.335098,1.156654,0.2503,0.2164,0.3086,0.0983,610,748,0.1845,39.189,GOOD,1.0
2020-12-07,P01,S2A_30NXM_20201207_0_L2A,0.10452,0.04777,-0.095717,0.573319,1.25782,0.2654,0.211,0.27075,0.0539,382,748,0.4893,43.301,GOOD,1.0
2020-12-12,P01,S2B_30NXM_20201212_1_L2A,0.131766,0.038941,-0.108798,0.616108,1.319335,0.3016,0.2286,0.29225,0.0549,712,748,0.0481,61.521,GOOD,1.0
2020-12-22,P01,S2B_30NXM_20201222_0_L2A,0.005259,0.045759,-0.203182,0.028982,0.987654,0.144,0.1458,0.2392,0.1373,670,748,0.1043,39.675,GOOD,1.0
2020-12-27,P01,S2A_30NXM_20201227_0_L2A,0.025998,0.035719,-0.130551,0.141127,1.091088,0.1665,0.1526,0.2153,0.1384,62,748,0.9171,21.463,LOW_QUALITY,0.64
2021-01-01,P01,S2B_30NXM_20210101_0_L2A,0.037649,0.022704,-0.09941,0.276923,1.084507,0.1232,0.1136,0.1407,0.0655,574,748,0.2326,45.889,GOOD,1.0
2021-01-11,P01,S2B_30NXM_20210111_0_L2A,-0.028794,0.039876,0.065569,0.411904,0.95024,0.1585,0.1668,0.1427,0.06685,28,748,0.9626,38.528,LOW_QUALITY,0.49
2021-01-16,P01,S2A_30NXM_20210116_1_L2A,0.133252,0.033401,-0.162126,0.477481,1.281443,0.27,0.2107,0.3123,0.0748,488,748,0.3476,39.606,GOOD,1.0
2021-01-21,P01,S2B_30NXM_20210121_1_L2A,0.097821,0.027677,-0.216508,0.232551,1.229752,0.2232,0.1815,0.2868,0.1131,576,748,0.2299,30.879,GOOD,1.0
