date,precip_mm,source
2018-12-30,0.01,nasa_power
2018-12-31,0.02,nasa_power
2019-01-01,0.0,nasa_power
2019-01-02,0.0,nasa_power
2019-01-03,0.0,nasa_power
2019-01-04,0.0,nasa_power
2019-01-05,0.0,nasa_power
2019-01-06,0.07,nasa_power
2019-01-07,0.4,nasa_power
2019-01-08,0.04,nasa_power
2019-01-09,0.06,nasa_power
2019-01-10,0.29,nasa_power
2019-01-11,0.0,nasa_power
2019-01-12,0.0,nasa_power
2019-01-13,0.0,nasa_power
2019-01-14,0.01,nasa_power
2019-01-15,0.0,nasa_power
2019-01-16,1.26,nasa_power
2019-01-17,2.11,nasa_power
2019-01-18,0.79,nasa_power
2019-01-19,1.04,nasa_power
2019-01-20,3.03,nasa_power
2019-01-21,0.0,nasa_power
2019-01-22,0.01,nasa_power
2019-01-23,0.01,nasa_power
2019-01-24,0.04,nasa_power
2019-01-25,0.05,nasa_power
2019-01-26,0.36,nasa_power
2019-01-27,0.3,nasa_power
2019-01-28,0.93,nasa_power
2019-01-29,0.22,nasa_power
2019-01-30,1.3,nasa_power
2019-01-31,3.17,nasa_power
2019-02-01,6.89,nasa_power
2019-02-02,50.44,nasa_power
2019-02-03,1.28,nasa_power
2019-02-04,1.29,nasa_power
2019-02-05,2.63,nasa_power
2019-02-06,1.26,nasa_power
2019-02-07,1.36,nasa_power
2019-02-08,1.45,nasa_power
2019-02-09,0.73,nasa_power
2019-02-10,0.0,nasa_power
2019-02-11,0.0,nasa_power
2019-02-12,0.0,nasa_power
2019-02-13,0.0,nasa_power
2019-02-14,0.0,nasa_power
2019-02-15,0.47,nasa_power
2019-02-16,0.45,nasa_power
2019-02-17,0.44,nasa_power
2019-02-18,2.15,nasa_power
2019-02-19,6.52,nasa_power
2019-02-20,0.99,nasa_power
2019-02-21,0.49,nasa_power
2019-02-22,1.17,nasa_power
2019-02-23,0.59,nasa_power
2019-02-24,0.56,nasa_power
2019-02-25,4.52,nasa_power
2019-02-26,3.05,nasa_power
2019-02-27,2.81,nasa_power
2019-02-28,3.14,nasa_power
2019-03-01,6.08,nasa_power
2019-03-02,1.67,nasa_power
2019-03-03,0.12,nasa_power
2019-03-04,1.41,nasa_power
2019-03-05,2.21,nasa_power
2019-03-06,10.43,nasa_power
2019-03-07,1.31,nasa_power
2019-03-08,3.5,nasa_power
2019-03-09,2.17,nasa_power
2019-03-10,1.52,nasa_power
2019-03-11,1.8,nasa_power
2019-03-12,0.69,nasa_power
2019-03-13,1.57,nasa_power
2019-03-14,1.43,nasa_power
2019-03-15,2.73,nasa_power
2019-03-16,1.96,nasa_power
2019-03-17,4.82,nasa_power
2019-03-18,2.95,nasa_power
2019-03-19,4.15,nasa_power
2019-03-20,6.58,nasa_power
2019-03-21,3.81,nasa_power
2019-03-22,4.04,nasa_power
2019-03-23,3.66,nasa_power
2019-03-24,4.13,nasa_power
2019-03-25,6.14,nasa_power
2019-03-26,0.26,nasa_power
2019-03-27,1.28,nasa_power
2019-03-28,4.18,nasa_power
2019-03-29,2.6,nasa_power
2019-03-30,10.82,nasa_power
2019-03-31,2.18,nasa_power
2019-04-01,6.11,nasa_power
