date,ndti,ndti_std,red,green,cloud_cover,scene_id,water_pixel_count
2024-04-05,-0.001998,0.054698,0.1906,0.1986,55.968,S2B_30NXL_20240405_0_L2A,29
2024-04-10,0.09391,0.037602,0.354,0.2962,60.341,S2A_30NXL_20240410_0_L2A,787
2024-04-15,-0.040084,0.03512,0.6348,0.68,45.916,S2B_30NXL_20240415_0_L2A,329
2024-04-20,0.092735,0.028253,0.3476,0.2874,26.124,S2A_30NXL_20240420_0_L2A,828
2024-04-25,-0.014971,0.048637,0.2566,0.2618,38.646,S2B_30NXL_20240425_0_L2A,3
2024-04-30,0.092398,0.025427,0.37,0.3062,35.833,S2A_30NXL_20240430_0_L2A,801
2024-05-15,0.089383,0.057376,0.342,0.2836,65.782,S2B_30NXL_20240515_0_L2A,386
2024-05-30,0.087065,0.036535,0.3472,0.2916,39.195,S2A_30NXL_20240530_0_L2A,398
2024-06-09,0.079585,0.008239,0.2808,0.2396,66.363,S2A_30NXL_20240609_0_L2A,9
2024-06-19,-0.014181,0.019925,0.221,0.2198,69.692,S2A_30NXL_20240619_0_L2A,3
2024-08-13,0.058114,0.024307,0.2488,0.2204,94.945,S2B_30NXL_20240813_0_L2A,41
2024-09-07,-0.021773,0.034539,0.1532,0.1635,55.319,S2A_30NXL_20240907_1_L2A,34
2024-10-27,0.11458,0.063919,0.3872,0.3076,34.203,S2A_30NXL_20241027_0_L2A,45
2024-11-01,0.091089,0.060093,0.4252,0.352,31.541,S2B_30NXL_20241101_0_L2A,483
2024-11-06,0.050032,0.046543,0.1642,0.152,18.815,S2A_30NXL_20241106_0_L2A,79
2024-11-11,-0.01803,0.068612,0.1349,0.1416,21.539,S2B_30NXL_20241111_0_L2A,46
2024-11-16,0.118889,0.053893,0.3708,0.2906,29.225,S2A_30NXL_20241116_0_L2A,644
2024-11-26,0.035688,0.025408,0.0971,0.0901,21.713,S2A_30NXL_20241126_0_L2A,106
2024-12-01,0.116648,0.039296,0.2852,0.2258,3.047,S2B_30NXL_20241201_0_L2A,828
2024-12-11,0.100769,0.049974,0.216,0.1784,23.314,S2B_30NXL_20241211_0_L2A,347
2024-12-16,0.142857,0.047009,0.2892,0.2164,14.901,S2A_30NXL_20241216_0_L2A,828
